,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,clusters_3,clusters_4,clusters_5
230,13009,Suicide Squad,2016-08-05,T,Action,61df2cd68664abc055113e79bf44ae2c,facebook,page,t,101,7769,['Action'],Action,2016,6,175000000.0,Warner Bros.,PG-13,Not Original,Yes,325100054,Action,186411299.87,HighBudget,346298992.31,2,1,Top5,2,0,3
231,134714,Harriet,2019-11-01,CMCSA,Drama,e60f2c9238350c267bf5f636d825a8e0,twitter,search_term,t,101,7769,['Drama'],Drama,2019,9,17000000.0,Focus Features,PG-13,Not Original,No,43082155,Drama,17000000.0,MediumBudget,43082155.0,4,81,Top100,1,1,4
232,10604,The Best of Me,2014-10-17,,"Romance, Drama",e21799cc7de87962ad1b6d176cc3cd22,facebook,search_term,t,101,7769,"['Romance', 'Drama']",Romance,2014,4,26000000.0,Relativity Media,PG-13,Not Original,No,26766213,Drama,28078062.29,MediumBudget,28905515.22,1,8,Top100,1,1,4
233,10591,The Maze Runner,2014-09-19,FOXA,"Mystery, Action, Sci Fi",3d19b6083b8d68e6f60ed61770783976,twitter,search_term,t,101,7769,"['Mystery', 'Action', 'Sci Fi']",Mystery,2014,4,34000000.0,20th Century Fox,PG-13,Not Original,No,102427862,Thriller,36717466.07,MediumBudget,110614457.28,1,7,Top100,0,2,2
234,63333,Acrimony,2018-03-30,LGF.A,"Comedy, Drama",42cd8c365dc6330ec740e5fc7dbf5e89,twitter,search_term,t,101,7769,"['Comedy', 'Drama']",Comedy,2018,8,20000000.0,Lionsgate,R,Original,No,43549096,Comedy,20362442.02,MediumBudget,44338297.11,3,19,Top100,1,1,4
235,18811,Spotlight (2015),2015-11-06,,Thriller,e99679b3f64f753f7f1a119e40f3941a,twitter,search_term,t,101,7769,['Thriller'],Thriller,2015,5,20000000.0,Lionsgate,R,Not Original,No,98300000,Thriller,21572918.12,MediumBudget,106030892.54,2,19,Top100,0,2,2
236,82291,Miss Bala,2019-02-01,,"Thriller, Action, Drama",71046f83960077e8d6d56b8f37cc5104,twitter,handle,t,101,7769,"['Thriller', 'Action', 'Drama']",Thriller,2019,9,15000000.0,Sony Pictures,PG-13,Remake,No,14998027,Thriller,15000000.0,MediumBudget,14998027.0,4,193,Top100+,0,2,2
237,79435,Adrift,2018-06-01,,"Drama, Action, Adventure",3b275279827e6ceb041276f69981f759,twitter,search_term,t,101,7769,"['Drama', 'Action', 'Adventure']",Drama,2018,8,35000000.0,STX Entertainment,PG-13,Not Original,No,31445011,Drama,35634273.53,MediumBudget,32014860.66,3,219,Top100+,1,1,4
238,13980,The Revenant,2015-12-25,FOXA,"Thriller, Action, Adventure",523744517df75645998c799f5bc2891a,facebook,search_term,t,101,7769,"['Thriller', 'Action', 'Adventure']",Thriller,2015,5,135000000.0,20th Century Fox,R,Not Original,No,183637894,Thriller,145617197.29,HighBudget,198080262.52,2,7,Top100,0,0,3
239,20267,Pete's Dragon,2016-08-12,DIS,"Adventure, Family",8ba4f97adc21fcd56a41ed0330d6a383,instagram,page,t,101,7769,"['Adventure', 'Family']",Adventure,2016,6,65000000.0,Walt Disney Pictures,PG,Remake,No,143700000,Adventure,69238482.81,HighBudget,153070307.38,2,4,Top5,2,3,0
240,59468,Tag,2018-06-15,T,Comedy,b7e7c52732fb7a650308dac184fc5488,twitter,search_term,t,101,7769,['Comedy'],Comedy,2018,8,28000000.0,Warner Bros.,R,Not Original,No,54730625,Comedy,28507418.82,MediumBudget,55722458.9,3,1,Top5,1,1,4
241,59212,12 Strong,2018-01-19,T,"War, Drama",c8ae3f780ccfd220d9280b933bd0be96,twitter,search_term,t,101,7769,"['War', 'Drama']",War,2018,8,35000000.0,Warner Bros.,R,Not Original,No,45819713,Documentary,35634273.53,MediumBudget,46650062.46,3,1,Top5,1,1,1
242,69159,"I, Tonya",2017-12-08,,"Biography, Drama, Sport",6ed853a5792ebf15c0158f1035771755,twitter,search_term,t,101,7769,"['Biography', 'Drama', 'Sport']",Biography,2017,7,11000000.0,Neon Films,R,Not Original,No,30014534,Documentary,11472896.39,MediumBudget,31304876.26,3,814,Top100+,1,1,1
243,15903,Snowden,2016-09-16,,"Drama, Thriller, Action, Biography",c3808d099c7b47eacab856794bfb2bbf,twitter,search_term,t,101,7769,"['Drama', 'Thriller', 'Action', 'Biography']",Drama,2016,6,50000000.0,Open Road Films,R,Not Original,No,21587519,Drama,53260371.39,HighBudget,22995185.59,2,223,Top100+,1,1,4
244,82305,The Sun Is Also a Star,2019-05-17,T,Drama,99a63730a57c000de2a18b1f68967236,facebook,page,t,101,7769,['Drama'],Drama,2019,9,9000000.0,Warner Bros.,PG-13,Not Original,No,6800000,Drama,9000000.0,MediumBudget,6800000.0,4,1,Top5,1,1,4
245,13263,Captain Marvel,2019-03-08,DIS,"Action, Adventure, Sci Fi",166b5d067c67f93655dd1102891eeedc,twitter,search_term,t,101,7769,"['Action', 'Adventure', 'Sci Fi']",Action,2019,9,175000000.0,Walt Disney Pictures,PG-13,Not Original,Yes,426829839,Action,175000000.0,HighBudget,426829839.0,4,4,Top5,2,0,3
246,59476,Mamma Mia! Here We Go Again,2018-07-20,CMCSA,Musical,091ab0564d1a4fd570aa11fb6192b0c9,facebook,search_term,t,101,7769,['Musical'],Musical,2018,8,75000000.0,Universal Pictures,PG-13,Not Original,Yes,615700000,Family,76359157.56,HighBudget,626857777.43,3,3,Top5,2,3,0
247,48244,The Possession of Hannah Grace,2018-11-30,,Horror,b08241fc2321bba2a739253426790b8e,facebook,search_term,t,101,7769,['Horror'],Horror,2018,8,6000000.0,Sony Pictures,R,Original,No,14836174,Horror,6108732.6,MediumBudget,15105036.64,3,193,Top100+,0,2,2
248,60835,The Call,2013-03-15,,Thriller,e6d8cffbf5965e04dcf1b7835edbcbd5,facebook,page,t,101,7769,['Thriller'],Thriller,2013,3,13000000.0,Tri-Star Pictures,R,Not Original,No,51872378,Thriller,14266775.53,MediumBudget,56927044.1,1,44,Top100,0,2,2
249,10615,Beyond the Lights,2014-11-14,,Drama,35d3e3f519e30fa11049bed4be188deb,instagram,page,t,101,6766,['Drama'],Drama,2014,4,7000000.0,Relativity Media,PG-13,Original,No,14618727,Drama,7559478.31,MediumBudget,15787135.66,1,8,Top100,1,1,4
250,61085,Non-Stop,2014-02-28,CMCSA,"Thriller, Action",b7c2f10b58432c54eb484ab302dde252,facebook,page,t,101,7769,"['Thriller', 'Action']",Thriller,2014,4,50000000.0,Universal Pictures,PG-13,Original,No,91742160,Thriller,53996273.63,HighBudget,99074695.49,1,3,Top5,0,2,2
251,12992,Me Before You,2016-06-03,T,"Drama, Romance",3c0b370edcde05b51de8b2db1875db4c,instagram,page,t,101,6766,"['Drama', 'Romance']",Drama,2016,6,20000000.0,Warner Bros.,PG-13,Not Original,No,56245075,Drama,21304148.56,MediumBudget,59912671.67,2,1,Top5,1,1,4
252,135832,Parasite (2019),2019-11-08,,"Drama, Thriller",938b1a92043a5ed66398990dcebf2973,facebook,page,t,101,7769,"['Drama', 'Thriller']",Drama,2019,9,11800000.0,Neon Films,R,Original,No,266000000,Drama,11800000.0,MediumBudget,266000000.0,4,814,Top100+,1,1,4
253,121663,Blinded By The Light,2019-08-16,,"Comedy, Drama",15dbd112ae1916b4796e8fb49711dca6,facebook,page,t,101,7769,"['Comedy', 'Drama']",Comedy,2019,9,15000000.0,Warner Bros.,PG-13,Not Original,No,18020000,Comedy,15000000.0,MediumBudget,18020000.0,4,1,Top5,1,1,4
