,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,cluster_id
158,23662,Moana,2016-11-23,DIS,"Animation, Adventure, Comedy, Fantasy, Family, Musical",df02d0245eb208012ca8e61419234c4d,twitter,search_term,t,101,7769,"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Family', 'Musical']",Animation,2016,6,150000000.0,Walt Disney Pictures,PG,Original,No,248757044,Family,1.3247342982858283,HighBudget,0.623849121066604,2,4,Top5,2
159,77709,Johnny English Strikes Again,2018-10-26,CMCSA,"Adventure, Action, Comedy",d56c2a54c40ac3eea4552b4ff4fa355d,facebook,search_term,t,101,7769,"['Adventure', 'Action', 'Comedy']",Adventure,2018,8,30000000.0,Focus Features,PG,Original,No,4412170,Adventure,-0.522108032843057,MediumBudget,-0.6639621020448712,3,81,Top100,2
160,119285,Onward,2020-03-06,DIS,Animation,8880947be82250dd6f46c3543f035833,facebook,page,t,101,7769,['Animation'],Animation,2020,10,185000000.0,Walt Disney Pictures,PG,Original,No,103200000,Family,1.6851198170207984,HighBudget,-0.1759618228745182,5,4,Top5,2
161,60803,Beautiful Creatures,2013-02-14,DIS,"Romance, Drama",19071e0d35b1b0b8542f833d5b649c20,facebook,search_term,t,101,7769,"['Romance', 'Drama']",Romance,2013,3,50000000.0,Warner Bros.,PG-13,Not Original,No,19452138,Drama,-0.17444567456844345,HighBudget,-0.5806304161232161,1,1,Top5,0
162,27767,The Lego Batman Movie,2017-02-10,T,"Action, Comedy, Animation",7e7c1946ce519fc362330ec3849f18e7,twitter,search_term,t,101,7769,"['Action', 'Comedy', 'Animation']",Action,2017,7,80000000.0,Warner Bros.,PG,Not Original,Yes,175750384,Action,0.23378588030147182,HighBudget,0.22007293216884477,3,1,Top5,4
163,101121,Terminator: Dark Fate,2019-11-01,VIA,Action,3ddc7968745991a10030ad4fcf34980c,twitter,search_term,t,101,7769,['Action'],Action,2019,9,185000000.0,Paramount Pictures,R,Original,Yes,62253077,Action,1.6851198170207984,HighBudget,-0.3783986641089762,4,6,Top100,2
164,66307,The Upside,2019-01-11,,"Drama, Comedy",14a75e0f4abc779ba1d1604e07c117e4,twitter,search_term,t,101,7769,"['Drama', 'Comedy']",Drama,2019,9,37500000.0,STX Entertainment,PG-13,Not Original,No,108235497,Drama,-0.4226998698922419,MediumBudget,-0.1510669093611001,4,219,Top100+,0
165,59466,Bumblebee,2018-12-21,VIA,"Sci Fi, Adventure, Action",345542921593ce180424c57403758e97,facebook,search_term,t,101,7769,"['Sci Fi', 'Adventure', 'Action']",Sci Fi,2018,8,102000000.0,Paramount Pictures,PG-13,Not Original,Yes,127195589,Fantasy,0.5254396428374786,HighBudget,-0.04593450578583359,3,6,Top100,7
166,82297,A Dog's Way Home,2019-01-11,,Drama,249fda55a356e1bdc561b65236ed6fb3,twitter,handle,t,101,7769,['Drama'],Drama,2019,9,61000000.0,Sony Pictures,PG,Original,Yes,80700000,Drama,-0.08687775028236769,HighBudget,-0.28719921494364403,4,193,Top100+,6
167,12272,The Wind Rises,2014-02-21,DIS,"Biography, Animation, Drama",a28c704c3d55c7f1aab020758550a495,facebook,page,t,101,7769,"['Biography', 'Animation', 'Drama']",Biography,2014,4,30000000.0,Walt Disney Pictures,PG-13,Not Original,No,136500000,Documentary,-0.49561236554423443,MediumBudget,0.04260643758857505,1,4,Top5,0
